id,number,semester,year,user,difficulty,interest,department,workload1,workload2,workload3,workload4
s0_CIS_6700_2021_Fall,6700,Fall,2021,s0,4,4,CIS,3,4,3,3
s0_CIS_3200_2020_Fall,3200,Fall,2020,s0,2,4,CIS,1,1,3,3
s0_CIS_9990_2020_Fall,9990,Fall,2020,s0,2,4,CIS,1,3,2,2
s0_CIS_5900_2020_Fall,5900,Fall,2020,s0,1,5,CIS,2,1,1,2
s0_CIS_1910_2022_Fall,1910,Fall,2022,s0,4,2,CIS,3,3,4,4
s1_CIS_6700_2020_Fall,6700,Fall,2020,s1,2,2,CIS,2,3,2,2
s1_CIS_2400_2020_Spring,2400,Spring,2020,s1,2,5,CIS,1,2,1,2
s1_CIS_5470_2022_Fall,5470,Fall,2022,s1,5,5,CIS,5,5,5,5
s1_CIS_3900_2021_Spring,3900,Spring,2021,s1,3,1,CIS,2,2,2,3
s1_CIS_5940_2020_Fall,5940,Fall,2020,s1,1,1,CIS,1,1,2,2
s2_CIS_9950_2020_Spring,9950,Spring,2020,s2,5,1,CIS,5,4,5,4
s2_CIS_4610_2021_Spring,4610,Spring,2021,s2,2,2,CIS,1,1,1,3
s2_CIS_6250_2022_Spring,6250,Spring,2022,s2,2,1,CIS,2,3,2,2
s2_CIS_5410_2020_Fall,5410,Fall,2020,s2,4,2,CIS,3,4,5,4
s2_CIS_5800_2022_Fall,5800,Fall,2022,s2,4,4,CIS,3,5,5,5
s3_CIS_9990_2021_Fall,9990,Fall,2021,s3,5,4,CIS,5,5,5,5
s3_CIS_1600_2022_Fall,1600,Fall,2022,s3,4,3,CIS,5,4,4,5
s3_CIS_5370_2021_Fall,5370,Fall,2021,s3,2,4,CIS,2,1,1,2
s3_CIS_5900_2022_Fall,5900,Fall,2022,s3,1,4,CIS,2,2,1,2
s3_CIS_5670_2020_Spring,5670,Spring,2020,s3,3,2,CIS,2,4,4,3
s4_CIS_1210_2020_Spring,1210,Spring,2020,s4,5,4,CIS,5,5,4,5
s4_CIS_6800_2021_Spring,6800,Spring,2021,s4,1,5,CIS,1,1,1,1
s4_CIS_5600_2022_Fall,5600,Fall,2022,s4,3,3,CIS,3,3,4,2
s4_CIS_5730_2022_Fall,5730,Fall,2022,s4,5,5,CIS,5,5,5,4
s4_CIS_5910_2022_Spring,5910,Spring,2022,s4,3,1,CIS,3,4,3,3
s5_CIS_5950_2021_Fall,5950,Fall,2021,s5,5,3,CIS,5,5,5,5
s5_CIS_1960_2020_Fall,1960,Fall,2020,s5,1,3,CIS,2,2,1,2
s5_CIS_5210_2020_Spring,5210,Spring,2020,s5,5,1,CIS,5,4,5,5
s5_CIS_6820_2022_Spring,6820,Spring,2022,s5,2,5,CIS,2,1,3,2
s5_CIS_2620_2020_Fall,2620,Fall,2020,s5,1,3,CIS,1,1,2,1
s6_CIS_6600_2020_Fall,6600,Fall,2020,s6,2,3,CIS,3,2,2,1
s6_CIS_5410_2021_Fall,5410,Fall,2021,s6,2,2,CIS,3,1,1,3
s6_CIS_2610_2020_Fall,2610,Fall,2020,s6,5,5,CIS,5,5,5,5
